name,string,abundance
H,22,9.1790383
He,13112221133211322112211213322112,0.3237297
Li,312211322212221121123222112,0.4220067
Be,111312211312113221133211322112211213322112,0.2263886
B,1321132122211322212221121123222112,0.295115
C,3113112211322112211213322112,0.3847053
N,111312212221121123222112,0.501493
O,132112211213322112,0.6537349
F,31121123222112,0.852194
Ne,111213322112,1.1109007
Na,123222112,1.4481449
Mg,3113322112,1.8850441
Al,1113222112,2.4573007
Si,1322112,3.2032813
P,311311222112,1.4895887
S,1113122112,1.9417939
Cl,132112,2.5312784
Ar,3112,3.299717
K,1112,4.3014361
Ca,12,5.6072543
Sc,3113112221133112,0.9302097
Ti,11131221131112,1.2126003
V,13211312,1.5807182
Cr,31132,2.0605883
Mn,111311222112,2.686136
Fe,13122112,3.5015859
Co,32112,4.5645877
Ni,11133112,1.3871124
Cu,131112,1.8082082
Zn,312,2.3571391
Ga,13221133122211332,0.1447891
Ge,31131122211311122113222,0.1887437
As,11131221131211322113322112,0.0027246
Se,13211321222113222112,0.0035518
Br,3113112211322112,0.00463
Kr,11131221222112,0.0060355
Rb,1321122112,0.0078678
Sr,3112112,0.0102563
Y,1112133,0.0133699
Zr,12322211331222113112211,0.0174286
Nb,1113122113322113111221131221,0.0227196
Mo,13211322211312113211,0.0296167
Tc,311322113212221,0.0386077
Ru,132211331222113112211,0.0328995
Rh,311311222113111221131221,0.042887
Pd,111312211312113211,0.0559065
Ag,132113212221,0.0728785
Cd,3113112211,0.0950027
In,11131221,0.1238434
Sn,13211,0.1614395
Sb,3112221,0.2104488
Te,1322113312211,0.2743363
I,311311222113111221,0.3576186
Xe,11131221131211,0.4661834
Cs,13211321,0.6077061
Ba,311311,0.7921919
La,11131,1.0326833
Ce,1321133112,1.3461825
Pr,31131112,1.7548529
Nd,111312,2.2875864
Pm,132,2.9820456
Sm,311332,1.5408115
Eu,1113222,2.0085669
Gd,13221133112,2.1662973
Tb,3113112221131112,2.8239359
Dy,111312211312,3.6812186
Ho,1321132,4.7987529
Er,311311222,0.1098596
Tm,11131221133112,0.1204908
Yb,1321131112,0.1570691
Lu,311312,0.2047517
Hf,11132,0.2669097
Ta,13112221133211322112211213322113,0.0242077
W,312211322212221121123222113,0.0315567
Re,111312211312113221133211322112211213322113,0.0169288
Os,1321132122211322212221121123222113,0.022068
Ir,3113112211322112211213322113,0.0287673
Pt,111312212221121123222113,0.0375005
Au,132112211213322113,0.0488847
Hg,31121123222113,0.063725
Tl,111213322113,0.0830705
Pb,123222113,0.1082888
Bi,3113322113,0.1411629
Po,1113222113,0.1840167
At,1322113,0.23988
Rn,311311222113,0.3127021
Fr,1113122113,0.4076313
Ra,132113,0.5313789
Ac,3113,0.6926935
Th,1113,0.7581905
Pa,13,0.9883599
U,3,0.0102563
Pu,31221132221222112112322211n,0.0
Np,1311222113321132211221121332211n,0.0
